Designator,Manufacturer Part Number,Quantity
"C66,C95,C92,C91,C90,C89,C86,C85,C82,C81,C80,C79,C76,C75,C70,C69,C45,C44,C41,C40,C39,C37,C36,C35,C34,C33,C31,C30,C28,C26,C25,C24,C23,C22,C18,C14,C7,C4,C3",C0603C104K8RACTU,39
"L13,L14,L12",7447779112,3
"U21,U17",TPS73633DCQR,2
"R79,R38,R35,R34,R8,R7,R6,R5,R4",ERJ-3GEY0R00V,9
"C96,C93,C84,C83,C78,C77,C72,C71,C68,C67,C65,C64,C63,C38,C17",C1210C106K8RACTU,15
"C94,C74,C73,C62,C61,C58,C57,C56,C55,C54,C52,C51,C50,C49,C20,C11",C0603C103K8RACTU,16
J2,0678005003,1
U20,FM24CL64B-G,1
U19,TMP512AID,1
U18,TPS78633KTT,1
"U15,U14,U11,U10",SN65LVDS1DBV,4
U13,CDCE706PW,1
U12,CDCLVC1106PW,1
U9,LTC6957IMS-4#PBF,1
U8,LT6210CS6#PBF,1
"U7,U6,U4,U3",LTC2050CS5#PBF,4
U5,LTC2607CDE-1#PBF,1
U2,ADR280ARTZ,1
U1,SN74LVC2G66DCTR,1
T1,TC1-1TX+,1
"R78,R75,R51,R50,R44,R25,R24,R18,R3",ERJ-3EKF1002V,9
"R77,R76,R11,R10",ERJ-3EKF4752V,4
"R74,R73,R72,R71,R42,R41,R26",ERJ-3EKF49R9V,7
"R70,R69,R63,R62,R61,R57,R56,R55,R48",ERJ-3EKF22R0V,9
"R68,R67,R49,R22,R19,R2,R1",ERJ-3EKF1001V,7
R66,ERJ-8CWFR025V,1
"R65,R64,R37",ERJ-3EKF2490V,3
"R60,R59,R58,R54,R53,R52,R17",ERJ-3EKF10R0V,7
R47,ERJ-3EKF15R0V,1
R45,ERJ-3EKF1301V,1
R43,ERJ-3EKF1540V,1
"R40,R36",ERJ-3EKF2001V,2
"R33,R32,R30",ERJ-3EKF1000V,3
R31,ERJ-3EKF75R0V,1
R29,ERJ-3EKF4751V,1
"R28,R21,R13",ERJ-3EKF2002V,3
R27,ERJ-3EKF1302V,1
R20,HVCB0603FDD20M0,1
R16,ERJ-3EKF2102V,1
"R15,R12,R9",ERJ-3EKF2802V,3
R14,ERJ-3EKF8252V,1
"L11,L10,L9,L8,L7,L6,L2,L1",LQM18PN4R7MFRL,8
"L5,L3",LQW21HN2R2J00L,2
L4,LQW18ANR13G00D,1
"DS2,DS1",LTST-C194KSKT,2
"C88,C87,C32,C27",ECH-U1H101GX5,4
"C60,C59,C53,C48,C47,C46,C19,C15,C12,C9,C8,C5",C0805C105K4RACTU,12
C43,C0603C332G3GEC7867,1
C42,C1206C225J3RACTU,1
C29,ECH-U1H221GX5,1
"C21,C16,C13,C10,C6",C0603C102K3RACTU,5
U16,LTC4415EMSE#PBF,1
